"CIPFamily";"CIPCode";"Action";"TextChange";"CIPTitle";"CIPDefinition";"CrossReferences";"Examples"
"193";9;9.0799;"No substantive changes";"no";"Radio, Television, and Digital Communication, Other.";"Any instructional program in radio, television, and digital communications not listed above.";"";"Examples: - Digital Media "
"194";9;9.09;"No substantive changes";"no";"Public Relations, Advertising, and Applied Communication.";"Instructional content for this group of programs is defined in codes 09.0900 - 09.0999.";"";"Examples: - Digital Media "
"195";9;9.09;"New";"no";"Public Relations, Advertising, and Applied Communication.";"A general program that focuses on organizational communication, public relations, and advertising; and that prepares individuals to function in a wide range of public and private sector positions requiring the skills of persuasive communication. Includes instruction in communications, public relations, and advertising theory; principles and techniques of persuasion; message/image design; marketing strategy; professional writing; public speaking and multi-media presentation skills; digital communications; and applied research.";"09.0902 - Public Relations/Image Management., 09.0903 - Advertising.";"Examples: - Public Relations and Advertising, - Applied Communication "
"196";9;9.0901;"No substantive changes";"no";"Organizational Communication, General.";"A program that focuses on general communication processes and dynamics within organizations.  Includes instruction in the development and maintenance of interpersonal group relations within organizations; decision-making and conflict management; the use of symbols to create and maintain organizational images, missions, and values; power and politics within organizations; human interaction with computer technology; and how communications socializes and supports employees and team members.";"52.1003 - Organizational Behavior Studies.";"Examples: - Public Relations and Advertising, - Applied Communication "
"197";9;9.0902;"No substantive changes";"no";"Public Relations/Image Management.";"A program that focuses on the theories and methods for managing the media image of a business, organization, or individual and the communication process with stakeholders, constituencies, audiences, and the general public; and that prepares individuals to function as public relations assistants, technicians, and managers.  Includes instruction in public relations theory; related principles of advertising, marketing, and journalism; message/image design; image management; special event management; media relations; community relations; public affairs; and internal communications.";"09.0900 - Public Relations, Advertising, and Applied Communication.";"Examples: - Public Relations and Advertising, - Applied Communication "
"198";9;9.0903;"No substantive changes";"no";"Advertising.";"A program that focuses on the creation, execution, transmission, and evaluation of commercial messages in various media intended to promote and sell products, services, and brands; and that prepares individuals  to function as advertising assistants, technicians, and managers.  Includes instruction in advertising theory, marketing strategy, advertising design and production methods, campaign methods and techniques, media management, related principles of business management, and applicable technical and equipment skills.";"09.0900 - Public Relations, Advertising, and Applied Communication., 50.0402 - Commercial and Advertising Art.";"Examples: - Public Relations and Advertising, - Applied Communication "
"199";9;9.0904;"No substantive changes";"no";"Political Communication.";"A program that focuses on human and media communication in the political process and that prepares individuals to function as members of political and public affairs organizations, political campaign staffs, and related government and media entities.  Includes instruction in media effects, political speaking and debating, political advertising and marketing, image management, political journalism, opinion polling, and aspects of print and broadcast media related to the production and distribution of media messages in political settings.";"";"Examples: - Public Relations and Advertising, - Applied Communication "
"200";9;9.0905;"No substantive changes";"no";"Health Communication.";"A program that focuses on how people, individually and collectively, understand and accommodate to health and illness and the role of communication and media in shaping professional health care messages and public acceptance of these messages.  Includes instruction in the development and use of health-related and care-related messages and media; the goals and strategies of health care promotion; relationships, roles, situations, and social structures in the context of health maintenance and promotion; and applications to disease prevention, health advocacy, and communications concerning treatments.";"";"Examples: - Health and Health Science Communication "
"201";9;9.0906;"New";"no";"Sports Communication.";"A program that focuses on the methods and techniques for communicating about sports in a variety of formats, media, and contexts; and that prepares individuals to be sports reporters and writers, photojournalists, radio and television announcers, producers and directors, recreational sports promoters, and public relations specialists.  Includes instruction in sports writing, photography, broadcast journalism, sports production, game rules, media and public relations, and sports promotion.";"31.0504 - Sport and Fitness Administration/Management., 31.0508 - Sports Studies.";"Examples: - Health and Health Science Communication "
"202";9;9.0907;"New";"no";"International and Intercultural Communication.";"A program that focuses on the specialized knowledge and skills needed for effective communication in the international community and among people of different cultures; and that prepares individuals to function at the national and international levels as journalists, public relations specialists, travel industry representatives, intercultural trainers, and/or foreign service officers.  Includes instruction in journalism, communications, intercultural and international relations, marketing and public relations, and global communications policy.";"30.2301 - Intercultural/Multicultural and Diversity Studies.";"Examples: - Health and Health Science Communication "
"203";9;9.0908;"New";"no";"Technical and Scientific Communication.";"A program that focuses on the communication of technical and scientific knowledge to a variety of audiences through print, video, and digital media; and that prepares individuals to function as technical writers and editors, documentation developers, web designers, and usability specialists. Includes instruction in scientific and technical writing and editing, graphic and information design, web design, audience analysis, document usability and field testing, publications management, and applications to specific technical fields.";"23.1303 - Professional, Technical, Business, and Scientific Writing.";"Examples: - Technical Communication, - Scientific Communication "
"204";9;9.0999;"No substantive changes";"no";"Public Relations, Advertising, and Applied Communication, Other";"Any instructional program in organizational communication, public relations, and advertising not listed above.";"";"Examples: - Technical Communication, - Scientific Communication "
"205";9;9.1;"No substantive changes";"no";"Publishing.";"Instructional content is defined in code 09.1001.";"";"Examples: - Technical Communication, - Scientific Communication "
"206";9;9.1001;"No substantive changes";"no";"Publishing.";"A program that focuses on the process of managing the creation, publication, and distribution of print and electronic books and other text products and prepares individuals to manage the editorial, technical, and business aspects of publishing operations.  Includes instruction in product planning and design, editing, author relations, business and copyright law, publishing industry operations, contracting and purchasing, product marketing, electronic publishing and commerce, history of publishing, and professional standards and ethics.";"";"Examples: - Technical Communication, - Scientific Communication "
"207";9;9.99;"No substantive changes";"no";"Communication, Journalism, and Related Programs, Other.";"Instructional content is defined in code 09.9999.";"";"Examples: - Technical Communication, - Scientific Communication "
"208";9;9.9999;"No substantive changes";"no";"Communication, Journalism, and Related Programs, Other.";"Any instructional program in communication, journalism, and related fields not listed above.";"";"Examples: - Technical Communication, - Scientific Communication "
"209";10;10;"No substantive changes";"no";"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.";"Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries.";"";"Examples: - Technical Communication, - Scientific Communication "
"210";10;10.01;"No substantive changes";"no";"Communications Technology/Technician.";"Instructional content is defined in code 10.0105.";"";"Examples: - Technical Communication, - Scientific Communication "
"211";10;10.0105;"No substantive changes";"no";"Communications Technology/Technician.";"A program that generally prepares individuals to function as workers and managers within communications industries.  Includes instruction in business economics; basic management; principles of interpersonal and mediated communications; radio, television, and digital media production; and related aspects of technology and communications systems.";"";"Examples: - Technical Communication, - Scientific Communication "
"212";10;10.02;"No substantive changes";"no";"Audiovisual Communications Technologies/Technicians.";"Instructional content for this group of programs is defined in codes 10.0201 - 10.0299.";"";"Examples: - Technical Communication, - Scientific Communication "
"213";10;10.0201;"No substantive changes";"no";"Photographic and Film/Video Technology/Technician and Assistant.";"A program that prepares individuals to apply technical knowledge and skills to the operation and maintenance of camera and lighting equipment and the production of finished still, video, and film products under the supervision of photographers, directors, and editors.  Includes instruction in equipment setup and maintenance; lighting; power supplies; studio and film set tasks such as camera operator, grip, and best boy; plate and negative handling and development; laboratory procedures; and digital software applications.";"";"Examples: - Technical Communication, - Scientific Communication "
"214";10;10.0202;"No substantive changes";"no";"Radio and Television Broadcasting Technology/Technician.";"A program that prepares individuals to apply technical knowledge and skills to the production of radio and television programs, and related operations, under the supervision of broadcast and studio managers, directors, editors, and producers.  Includes instruction in sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production preparation; broadcast engineering; related computer applications; and specialized applications such as news, entertainment, live talk, sports, commercials, and taping.";"";"Examples: - Technical Communication, - Scientific Communication "
"215";10;10.0203;"No substantive changes";"no";"Recording Arts Technology/Technician.";"A program that prepares individuals to apply technical knowledge and skills to the production of sound recordings as finished products or as components of film/video, broadcast, live, or mixed media productions.  Includes instruction in sound equipment operation and maintenance; music, dialogue, and sound effects recording; sound track editing; dubbing and mixing; sound engineering; tape, disk, and CD production; digital recording and transmission; amplification and modulation; and working with producers, editors, directors, artists, and production managers.";"50.0913 - Music Technology.";"Examples: - Technical Communication, - Scientific Communication "
"216";10;10.0299;"No substantive changes";"no";"Audiovisual Communications Technologies/Technicians, Other.";"Any instructional program in audiovisual communications technologies not listed above.";"";"Examples: - Broadcast Captioning "
"217";10;10.03;"No substantive changes";"no";"Graphic Communications.";"Instructional content for this group of programs is defined in codes 10.0301 - 10.0399.";"";"Examples: - Broadcast Captioning "
"218";10;10.0301;"No substantive changes";"no";"Graphic Communications, General.";"A program that generally prepares individuals to apply technical knowledge and skills in the manufacture and distribution or transmission of graphic communications products.  Includes instruction in the prepress, press, and postpress phases of production operations and processes such as offset lithography, flexography, gravure, letterpress, screen printing, foil stamping, digital imaging, and other reproduction methods.";"50.0402 - Commercial and Advertising Art., 50.0409 - Graphic Design.";"Examples: - Broadcast Captioning "
"219";10;10.0302;"No substantive changes";"no";"Printing Management.";"A program that prepares individuals to apply technical and managerial knowledge and skills to the processes and procedures of managing printing operations from initial design through finished product distribution.  Includes instruction in the principles of graphic communications design and production; quality control; printing operations management; computerization; printing plant management; business finance and marketing; logistics and distribution; personnel supervision and leadership; and professional standards in the graphic communications industry.";"";"Examples: - Broadcast Captioning "
"220";10;10.0303;"No substantive changes";"no";"Prepress/Desktop Publishing and Digital Imaging Design.";"A program that prepares individuals to apply technical knowledge and skills to the layout, design and typographic arrangement of printed and/or electronic graphic and textual products.  Includes instruction in printing and lithographic equipment and operations, computer hardware and software, digital imaging, print preparation, page layout and design, desktop publishing, and applicable principles of graphic design and web page design.";"";"Examples: - Broadcast Captioning "
"221";10;10.0304;"No substantive changes";"no";"Animation, Interactive Technology, Video Graphics and Special Effects.";"A program that prepares individuals to use computer applications and related visual and sound imaging techniques to manipulate images and information originating as film, video, still photographs, digital copy, soundtracks, and physical objects in order to communicate messages simulating real-world content.  Includes instruction in specialized camerawork and equipment operation and maintenance, image capture, computer programming, dubbing, CAD applications, and applications to specific commercial, industrial, and entertainment needs.";"";"Examples: - Broadcast Captioning "
"222";10;10.0305;"No substantive changes";"no";"Graphic and Printing Equipment Operator, General Production.";"A program that generally prepares individuals to apply technical knowledge and skills to plan, prepare, and execute a variety of commercial and industrial graphic communications jobs.  Includes instruction in the operation and maintenance of mechanical, electronic, and digital graphic, printing, and finishing equipment; and related processes.";"";"Examples: - Broadcast Captioning "
"223";10;10.0306;"No substantive changes";"no";"Platemaker/Imager.";"A program that prepares individuals to apply technical knowledge and skills to prepare film, digital data, and surfaces to reproduce printed or graphic images.  Includes instruction in platemaking, stripping, camerawork, imposition, digital imaging, computer direct-to-plate and direct-to-press, and related processes.";"";"Examples: - Broadcast Captioning "
"224";10;10.0307;"No substantive changes";"no";"Printing Press Operator.";"A program that prepares individuals to apply technical knowledge and skills to set up, operate, and maintain printing presses.";"";"Examples: - Broadcast Captioning "
"225";10;10.0308;"No substantive changes";"no";"Computer Typography and Composition Equipment Operator.";"A program that prepares individuals to apply technical knowledge and skills to design and execute page formats, layouts and text composition, and to make typographical selections using computer graphics and other computer-assisted design programs.";"";"Examples: - Broadcast Captioning "
"226";10;10.0399;"No substantive changes";"no";"Graphic Communications, Other.";"Any instructional program in graphic communications not listed above.";"";"Examples: - Broadcast Captioning "
"227";10;10.99;"No substantive changes";"no";"Communications Technologies/Technicians and Support Services, Other.";"Instructional content is defined in code 10.9999.";"";"Examples: - Broadcast Captioning "
"228";10;10.9999;"No substantive changes";"no";"Communications Technologies/Technicians and Support Services, Other.";"Any instructional program in communications technologies and support services not listed above.";"";"Examples: - Broadcast Captioning "
"229";11;11;"No substantive changes";"no";"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.";"Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.";"";"Examples: - Broadcast Captioning "
"230";11;11.01;"No substantive changes";"no";"Computer and Information Sciences, General.";"Instructional content for this group of programs is defined in codes 11.0101 - 11.0199.";"";"Examples: - Broadcast Captioning "
"231";11;11.0101;"No substantive changes";"yes";"Computer and Information Sciences, General.";"A general program that focuses on computing, computer science, and information science and systems. Such programs are undifferentiated as to title and content and are not to be confused with specific programs in computer science, information science, or related support services.";"";"Examples: - Broadcast Captioning "
"232";11;11.0102;"No substantive changes";"yes";"Artificial Intelligence.";"A program that focuses on the symbolic inference, representation, and simulation by computers and software of human learning and reasoning processes and capabilities, and the computer modeling of human motor control and motion. Includes instruction in computing theory, cybernetics, human factors, natural language processing, and applicable aspects of engineering, technology, and specific end-use applications.";"14.4201 - Mechatronics, Robotics, and Automation Engineering.";"Examples: - Broadcast Captioning "
"233";11;11.0103;"No substantive changes";"no";"Information Technology.";"A program that focuses on the design of technological information systems, including computing systems, as solutions to business and research data and communications support needs.  Includes instruction in the principles of computer hardware and software components, algorithms, databases, telecommunications, user tactics, application testing, and human interface design.";"";"Examples: - Broadcast Captioning "
"234";11;11.0104;"New";"no";"Informatics.";"A program that focuses on computer systems from a user-centered perspective and studies the structure, behavior and interactions of natural and artificial systems that store, process and communicate information. Includes instruction in information sciences, human computer interaction, information system analysis and design, telecommunications structure and information architecture and management.";"26.1103 - Bioinformatics., 51.2706 - Medical Informatics.";"Examples: - Social Informatics "
"235";11;11.0199;"No substantive changes";"no";"Computer and Information Sciences,  Other.";"Any instructional program in computer science not listed above.";"";"Examples: - Social Informatics "
"236";11;11.02;"No substantive changes";"no";"Computer Programming.";"Instructional content for this group of programs is defined in codes 11.0201 - 11.0299.";"";"Examples: - Social Informatics "
"237";11;11.0201;"No substantive changes";"no";"Computer Programming/Programmer, General.";"A program that focuses on the general writing and implementation of generic and customized programs to drive operating systems and that generally prepares individuals to apply the methods and procedures of software design and programming  to software installation and maintenance.  Includes instruction in software design, low- and high-level languages and program writing; program customization and linking; prototype testing; troubleshooting; and related aspects of operating systems and networks.";"";"Examples: - Social Informatics "
"238";11;11.0202;"No substantive changes";"no";"Computer Programming, Specific Applications.";"A program that prepares individuals to apply the knowledge and skills of general computer programming to the solution of specific operational problems and customization requirements presented by individual software users and organizational users.  Includes training in specific types of software and its installation and maintenance.";"";"Examples: - Social Informatics "
"239";11;11.0203;"No substantive changes";"no";"Computer Programming, Vendor/Product Certification.";"A program that prepares individuals to fulfill the requirements set by vendors for professional qualification as certified installation, customization, and maintenance engineers for specific software products and/or processes.  Includes training in specific vendor-supported software products and their installation and maintenance.";"";"Examples: - Social Informatics "
"240";11;11.0299;"No substantive changes";"no";"Computer Programming, Other.";"Any instructional program in computer programming not listed above.";"";"Examples: - Social Informatics "
"241";11;11.03;"No substantive changes";"no";"Data Processing.";"Instructional content is defined in code 11.0301.";"";"Examples: - Social Informatics "
"242";11;11.0301;"No substantive changes";"no";"Data Processing and Data Processing Technology/Technician.";"A program that prepares individuals to master and use computer software programs and applications for inputting, verifying, organizing, storing, retrieving, transforming (changing, updating, and deleting), and extracting information.  Includes instruction in using various operating system configurations and in types of data entry such as word processing, spreadsheets, calculators, management programs, design programs, database programs, and research programs.";"";"Examples: - Social Informatics "
"243";11;11.04;"No substantive changes";"no";"Information Science/Studies.";"Instructional content is defined in code 11.0401.";"";"Examples: - Social Informatics "
"244";11;11.0401;"No substantive changes";"no";"Information Science/Studies.";"A program that focuses on the  theory, organization, and process of information collection, transmission, and utilization in traditional and electronic forms.  Includes instruction in information classification and organization; information storage and processing; transmission, transfer, and signaling; communications and networking; systems planning and design; human interfacing and use analysis; database development; information policy analysis; and related aspects of hardware, software, economics, social factors, and capacity.";"25.0101 - Library and Information Science., 52.1201 - Management Information Systems, General.";"Examples: - Social Informatics "
"245";11;11.05;"No substantive changes";"no";"Computer Systems Analysis.";"Instructional content is defined in code 11.0501.";"";"Examples: - Social Informatics "
"246";11;11.0501;"No substantive changes";"no";"Computer Systems Analysis/Analyst.";"A program that prepares individuals to apply programming and systems analysis principles to the selection, implementation, and troubleshooting of customized computer and software installations across the life cycle.  Includes instruction in computer hardware and software; compilation, composition, execution, and operating systems; low- and high-level languages and language programming; programming and debugging techniques; installation and maintenance testing and documentation; process and data flow analysis; user needs analysis and documentation; cost-benefit analysis; and specification design.";"14.2701 - Systems Engineering.";"Examples: - Social Informatics "
"247";11;11.06;"No substantive changes";"no";"Data Entry/Microcomputer Applications.";"Instructional content for this group of programs is defined in codes 11.0601 - 11.0699.";"";"Examples: - Social Informatics "
"248";11;11.0601;"No substantive changes";"no";"Data Entry/Microcomputer Applications, General.";"A program that generally prepares individuals to perform basic data and text entry using standard and customized software products.  Includes instruction in keyboarding skills, personal computer and work station operation, reading draft texts and raw data forms, audio and tape dictation, and various interactive software programs used for tasks such as word processing, spreadsheets, databases, and others.";"";"Examples: - Social Informatics "
"249";11;11.0602;"No substantive changes";"no";"Word Processing.";"A program that prepares individuals to perform text typing, table construction, and document formatting tasks on personal computers at a high rate of accuracy and proficiency.  Includes instruction in keyboarding skills, word processor operation, textual draft interpretation, audio and tape dictation, and specific word processing program software.";"";"Examples: - Social Informatics "
"250";11;11.0699;"No substantive changes";"no";"Data Entry/Microcomputer Applications, Other.";"Any instructional program in data entry/microcomputer applications not listed above.";"";"Examples: - Social Informatics "
"251";11;11.07;"No substantive changes";"no";"Computer Science.";"Instructional content is defined in code 11.0701.";"";"Examples: - Social Informatics "
"252";11;11.0701;"No substantive changes";"yes";"Computer Science.";"A program that focuses on computer theory, computing problems and solutions, and the design of computer systems and user interfaces from a scientific perspective. Includes instruction in the principles of computational science, computer development and programming, and applications to a variety of end-use situations.";"14.0901 - Computer Engineering, General.";"Examples: - Social Informatics "
"253";11;11.08;"No substantive changes";"no";"Computer Software and Media Applications.";"Instructional content for this group of programs is defined in codes 11.0801 - 11.0899.";"";"Examples: - Social Informatics "
"254";11;11.0801;"No substantive changes";"no";"Web Page, Digital/Multimedia and Information Resources Design.";"A program that prepares individuals to apply HTML, XML, Javascript, graphics applications, and other authoring tools to the design, editing, and publishing (launching) of documents, images, graphics, sound, and multimedia products on the World Wide Web.  Includes instruction in Internet theory, web page standards and policies, elements of web page design, user interfaces, vector tools, special effects, interactive and multimedia components, search engines, navigation, morphing, e-commerce tools, and emerging web technologies.";"";"Examples: - Social Informatics "
"255";11;11.0802;"No substantive changes";"no";"Data Modeling/Warehousing and Database Administration.";"A program that prepares individuals to design and manage the construction of databases and related software programs and applications, including the linking of individual data sets to create complex searchable databases (warehousing) and the use of analytical search tools (mining). Includes instruction in database theory, logic, and semantics; operational and warehouse modeling; dimensionality; attributes and hierarchies; data definition; technical architecture; access and security design; integration; formatting and extraction; data delivery; index design; implementation problems; planning and budgeting; and client and networking issues.";"";"Examples: - Social Informatics "
"256";11;11.0803;"No substantive changes";"no";"Computer Graphics.";"A program that focuses on the software, hardware, and mathematical tools used to represent, display, and manipulate topological, two-, and three-dimensional objects on a computer screen and that prepares individuals to function as computer graphics specialists.  Includes instruction in graphics software and systems; digital multimedia; graphic design; graphics devices, processors, and standards; attributes and transformations; projections; surface identification and rendering; color theory and application; and applicable geometry and algorithms.";"";"Examples: - Social Informatics "
"257";11;11.0804;"New";"no";"Modeling, Virtual Environments and Simulation.";"A program focusing on the principles of applied visual simulation technology and the application of quantitative analyses to human-computer interaction.  Includes instruction in object-oriented programming, artificial intelligence, computer communications and networks, computer graphics, virtual worlds and simulation systems, probability, statistics, stochastic modeling, data analysis, human-performance evaluation, and human-behavior modeling.";"50.0411 - Game and Interactive Media Design.";"Examples: - Social Informatics "
"258";11;11.0899;"No substantive changes";"no";"Computer Software and Media Applications, Other.";"Any instructional program in computer software and media applications not listed above.";"";"Examples: - Social Informatics "
"259";11;11.09;"No substantive changes";"no";"Computer Systems Networking and Telecommunications.";"Instructional content is defined in code 11.0901.";"";"Examples: - Social Informatics "
"260";11;11.0901;"No substantive changes";"no";"Computer Systems Networking and Telecommunications.";"A program that focuses on the design, implementation, and management of linked systems of computers, peripherals, and associated software to maximize efficiency and productivity, and that prepares individuals to function as network specialists and managers at various levels.  Includes instruction in operating systems and applications; systems design and analysis; networking theory and solutions; types of networks; network management and control; network and flow optimization; security; configuring; and troubleshooting.";"";"Examples: - Computer Systems Telecommunications, - Computer Systems Networking "
"261";11;11.1;"No substantive changes";"no";"Computer/Information Technology Administration and Management.";"Instructional content for this group of programs is defined in codes 11.1001 - 11.1099.";"";"Examples: - Computer Systems Telecommunications, - Computer Systems Networking "
"262";11;11.1001;"No substantive changes";"yes";"Network and System Administration/Administrator.";"A program that prepares individuals to manage the computer operations and control the system configurations emanating from a specific site or network hub.  Includes instruction in computer hardware and software and applications; local area (LAN) and wide area (WAN) networking; principles of information systems security; disk space and traffic load monitoring; data backup; resource allocation; and setup and takedown procedures.";"";"Examples: - Network Administration "
"263";11;11.1002;"No substantive changes";"no";"System, Networking, and LAN/WAN Management/Manager.";"A program that prepares individuals to oversee and regulate the computer system and performance requirements of an entire organization or network of satellite users.  Includes instruction in performance balancing; redundancy; local area (LAN) and wide area (WAN) network management; system migration and upgrading; outage control; problem diagnosis and troubleshooting; and system maintenance, budgeting, and management.";"";"Examples: - Network Administration "
"264";11;11.1003;"No substantive changes";"yes";"Computer and Information Systems Security/Information Assurance.";"A program that prepares individuals to assess the security needs of computer and network systems, recommend safeguard solutions, and manage the implementation and maintenance of security devices, systems, and procedures.  Includes instruction in computer architecture, programming, and systems analysis; networking; telecommunications; cryptography; security system design; applicable law and regulations; risk assessment and policy analysis; contingency planning; user access issues; investigation techniques; and troubleshooting.";"43.0116 - Cyber/Computer Forensics and Counterterrorism.";"Examples: - Information Assurance, - IT Security, - Internet Security, - Network Security, - Information Systems Security "
"265";11;11.1004;"No substantive changes";"no";"Web/Multimedia Management and Webmaster.";"A program that prepares individuals to develop and maintain web servers and the hosted web pages at one or a group of web sites, and to function as designated webmasters.  Includes instruction in computer systems and networks, server installation and maintenance, web page design and editing, information resources management, web policy and procedures, Internet applications of information systems security, user interfacing and usability research, and relevant management and communications skills.";"";"Examples: - Website Development, - Web Development, - Webmaster "
"266";11;11.1005;"New";"no";"Information Technology Project Management.";"A program that prepares individuals to design, develop, and manage information technology projects in a variety of companies and organizations. Includes instruction in principles of project management, risk management, procurement and contract management, information security management, software management, organizational principles and behavior, communications, quality assurance, financial analysis, leadership, and team effectiveness.";"52.0211 - Project Management.";"Examples: - Website Development, - Web Development, - Webmaster "
"267";11;11.1006;"New";"no";"Computer Support Specialist.";"A program that prepares individuals to provide technical assistance, support, and advice to computer users to help troubleshoot software and hardware problems. Includes instruction in computer concepts, information systems, networking, operating systems, computer hardware, the Internet, software applications, help desk concepts and problem solving, and principles of customer service.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"268";11;11.1099;"No substantive changes";"no";"Computer/Information Technology Services Administration and Management, Other.";"Any instructional program in computer/information technology services administration and management not listed above.";"51.0706 - Health Information/Medical Records Administration/Administrator.";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"269";11;11.99;"No substantive changes";"no";"Computer and Information Sciences and Support Services, Other.";"Instructional content is defined in code 11.9999.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"270";11;11.9999;"No substantive changes";"no";"Computer and Information Sciences and Support Services, Other.";"Any instructional program in computer and information sciences and support services not listed above.";"51.0707 - Health Information/Medical Records Technology/Technician., 51.0709 - Medical Office Computer Specialist/Assistant.";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"271";12;12;"No substantive changes";"no";"PERSONAL AND CULINARY SERVICES.";"Instructional programs that prepare individuals to provide professional services related to cosmetology, funeral services, and food preparation and service.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"272";12;12.03;"No substantive changes";"no";"Funeral Service and Mortuary Science.";"Instructional content for this group of programs is defined in codes 12.0301 - 12.0399.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"273";12;12.0301;"No substantive changes";"no";"Funeral Service and Mortuary Science, General.";"A program that generally prepares individuals for careers in the funeral service industry and for licensure as funeral service directors or morticians.  Includes instruction in the basic elements of mortuary science and the business, counseling, and operational aspects of funeral service.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"274";12;12.0302;"No substantive changes";"no";"Funeral Direction/Service.";"A program that prepares individuals for professional licensure as funeral directors and as managers of funeral homes, cemeteries, and related services.  Includes instruction in the sociology of death and dying, psychology of grief and grief counseling, history of funeral service, funeral direction, business law, funeral service law, funeral home management, accounting and related computer operations, and funeral services marketing and merchandising.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"275";12;12.0303;"No substantive changes";"no";"Mortuary Science and Embalming/Embalmer.";"A program that prepares individuals for licensure as embalmers and morticians.  Includes instruction in pathogenic microbiology, systematic pathology, thanatochemistry, gross anatomy, clinical mortuary science, embalming, restorative art, applicable laws and regulations, and special services such as cremation and preparations required by specific religious communities.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"276";12;12.0399;"No substantive changes";"no";"Funeral Service and Mortuary Science, Other.";"Any instructional program in funeral service and mortuary science not listed above.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"277";12;12.04;"No substantive changes";"no";"Cosmetology and Related Personal Grooming Services.";"Instructional content for this group of programs is defined in codes 12.0401 - 12.0499.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"278";12;12.0401;"No substantive changes";"no";"Cosmetology/Cosmetologist, General.";"A program that generally prepares individuals to cut, trim, and style scalp, facial, and body hair; apply cosmetic preparations; perform manicures and pedicures; massage the head and extremities; and prepare for practice as licensed cosmetologists in specialized or full-service salons.  Includes instruction in hair cutting and styling, manicuring, pedicuring, facial treatments, shampooing, chemical applications, esthetics, shop management, sanitation and safety, customer service, and applicable professional and labor laws and regulations.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"279";12;12.0402;"No substantive changes";"no";"Barbering/Barber.";"A program that prepares individuals to shave and trim facial/neck hair and beards, cut and dress hair, fit hairpieces, give facial and scalp massages, apply cosmetic treatments, and to prepare for licensure as professional barbers at various levels.  Includes instruction in facial shaving; beard and mustache shaping and trimming; shampooing; hair cutting; hair styles and styling art; facial treatments and massage; chemical applications; hair and scalp anatomy and physiology; hairpiece and toupee fitting; equipment operation; health and safety; customer service; and shop business practices.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"280";12;12.0404;"No substantive changes";"no";"Electrolysis/Electrology and Electrolysis Technician.";"A program that prepares individuals to permanently remove hair from the human scalp, face, and body using specialized charged solid needle probes, and to function as licensed electrologists and electrolysis technicians.  Includes instruction in direct current electrolysis, alternating current/high frequency thermolysis, blend/dual modality treatments, equipment theory and operation, safety and sanitation, client evaluation and care, laws and regulations, and business practices.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"281";12;12.0406;"No substantive changes";"no";"Make-Up Artist/Specialist.";"A program that prepares individuals to professionally apply cosmetic makeup preparations and perform complete and specialized appearance makeovers including hairdressing, wig work, masking, temporary prosthesis applications, cosmetic applications, and related costuming for leisure or for professional stage, camera, clinical, or security purposes.  Includes instruction in period and contemporary hairstyling and costuming; wig work and hairpiece application; synthetic hair and masks; cosmetic preparations and treatments; makeup artistry; attachment, removal, and camouflaging of prostheses; health and safety; client consultation and care; pre- and post-production operations; set and crew conduct and relations; script, instruction, and prescription interpretation; labor relations; and business practices.";"";"Examples: - Technical Support Specialist, - Help Desk Specialist, - IT Support Specialist "
"282";12;12.0407;"No substantive changes";"no";"Hair Styling/Stylist and Hair Design.";"A program that prepares individuals to shampoo, cut, style, set, and dress the scalp hair of women and/or men, braid hair, apply hair cosmetics and wigs, and prepare for licensure as professional cosmetologists, hairdressers, and barbers at various levels.  Includes instruction in hair design theory and concepts, hair cleaning and shampooing, hair coloring, chemical applications and permanent reconstructions, hair anatomy and physiology, scalp diseases and treatments, wig and hairpiece fitting, hair braiding, customer service, shop management, equipment operation, health and safety, and applicable laws and regulations.";"";"Examples: - Natural Hair Braider "
